"color","cut","clarity","price","city","depth","carat","table","x","y","z"
G,Premium,SI1,10688,Paris,62.4,1.51,62.0,7.25,7.12,4.48
I,Ideal,SI2,16337,Zurich,62.0,2.07,55.0,8.22,8.12,5.07
E,Premium,SI2,3752,Surat,61.0,1.0,59.0,6.4,6.33,3.89
H,Very Good,SI1,4316,Zurich,63.1,1.04,58.0,6.43,6.37,4.04
F,Premium,VS2,8870,Dubai,60.1,1.21,55.0,7.01,6.91,4.18
H,Ideal,VVS1,2946,Madrid,62.5,0.72,57.0,5.7,5.73,3.57
E,Very Good,SI1,3002,Paris,62.1,0.83,58.0,6.01,6.04,3.74
J,Ideal,SI1,4883,Dubai,62.3,1.17,55.0,6.74,6.77,4.21
F,Ideal,VS1,598,Amsterdam,62.0,0.28,57.0,4.19,4.23,2.61
E,Ideal,VS2,1813,Surat,62.4,0.53,56.0,5.2,5.16,3.23
I,Very Good,SI2,3276,London,60.8,1.0,63.0,6.41,6.34,3.88
E,Premium,VS1,1294,London,62.0,0.46,58.0,4.95,4.98,3.08
D,Ideal,SI1,803,Surat,60.6,0.34,56.0,4.54,4.51,2.74
E,Very Good,VS2,658,Surat,62.9,0.3,58.0,4.22,4.24,2.66
E,Very Good,VS2,6666,Tel Aviv,60.4,1.01,58.0,6.47,6.51,3.92
G,Ideal,SI1,6738,Antwerp,59.6,1.26,57.0,7.08,7.04,4.21
F,Ideal,VS1,819,Surat,61.6,0.36,56.0,4.62,4.64,2.85
J,Good,SI1,12257,Kimberly,63.6,2.01,59.0,7.96,8.01,5.08
E,Very Good,SI1,882,Dubai,63.5,0.4,57.0,4.72,4.7,2.99
J,Ideal,VS1,663,New York City,60.9,0.42,57.0,4.83,4.86,2.95
G,Premium,SI2,3423,Las Vegas,61.3,0.91,60.0,6.17,6.2,3.79
G,Ideal,IF,2096,Surat,62.4,0.51,54.0,5.12,5.17,3.21
D,Very Good,VS2,758,New York City,62.5,0.32,57.0,4.34,4.39,2.73
E,Premium,VS2,15278,Las Vegas,61.6,1.77,58.0,7.78,7.71,4.77
F,Premium,VVS2,737,Dubai,61.6,0.3,58.0,4.28,4.35,2.66
D,Very Good,SI2,7915,London,63.2,1.51,59.0,7.25,7.18,4.56
E,Ideal,SI1,5206,Amsterdam,61.6,1.01,57.0,6.44,6.49,3.98
G,Premium,VS1,11380,London,60.8,1.58,58.0,7.58,7.52,4.59
G,Premium,SI2,2813,Dubai,59.8,0.91,58.0,6.3,6.29,3.77
D,Very Good,SI1,2862,Zurich,62.5,0.7,55.0,5.67,5.72,3.56
D,Ideal,SI1,571,Luxembourg,62.3,0.31,54.0,4.33,4.37,2.71
E,Premium,VS2,2858,Antwerp,61.5,0.71,60.0,5.76,5.68,3.52
J,Good,VS2,7308,Zurich,63.6,1.5,58.0,7.23,7.2,4.59
D,Ideal,SI1,565,Las Vegas,61.3,0.31,56.0,4.36,4.41,2.69
H,Ideal,VVS1,846,Paris,61.6,0.31,57.0,4.35,4.32,2.67
E,Premium,SI1,5485,Luxembourg,60.8,1.06,58.0,6.59,6.54,3.99
F,Ideal,VS1,716,Tel Aviv,61.0,0.32,54.0,4.42,4.44,2.7
E,Very Good,SI1,5077,Kimberly,63.3,1.01,58.0,6.39,6.37,4.04
D,Ideal,VVS1,3126,Dubai,61.6,0.57,56.0,5.33,5.35,3.29
F,Very Good,VS2,4400,Surat,63.4,0.9,58.0,6.07,6.11,3.86
D,Ideal,VS2,1298,Madrid,62.4,0.46,56.0,4.98,4.95,3.1
H,Very Good,VS1,4592,Kimberly,62.3,0.9,59.0,6.12,6.17,3.83
D,Very Good,VVS2,14236,Tel Aviv,62.6,1.36,58.0,7.06,7.21,4.47
E,Good,SI2,1163,Antwerp,63.8,0.54,54.0,5.17,5.18,3.3
H,Ideal,SI1,6036,Madrid,62.2,1.16,54.0,6.72,6.75,4.19
J,Very Good,SI1,13996,Antwerp,62.8,2.13,58.0,8.13,8.17,5.12
F,Ideal,VS2,904,New York City,61.5,0.43,56.0,4.85,4.89,2.99
F,Good,SI1,2059,Antwerp,64.3,0.7,63.0,5.58,5.55,3.58
E,Fair,SI2,3294,Antwerp,64.6,1.01,59.0,6.22,6.18,4.01
H,Premium,SI1,1341,Tel Aviv,58.9,0.6,61.0,5.54,5.5,3.25
F,Good,VS1,4508,London,63.3,0.9,59.0,6.03,6.07,3.83
I,Ideal,SI1,2376,New York City,61.4,0.71,56.0,5.73,5.77,3.53
E,Ideal,IF,1095,London,62.6,0.32,55.0,4.38,4.41,2.75
H,Very Good,VVS1,967,Madrid,59.1,0.38,58.0,4.71,4.76,2.8
D,Very Good,VVS2,485,London,61.3,0.24,58.0,3.99,4.03,2.46
E,Ideal,SI1,5599,Antwerp,62.1,1.01,54.0,6.5,6.41,4.01
G,Good,SI1,3669,Zurich,63.7,0.9,60.0,6.11,6.07,3.88
I,Ideal,VS1,878,Kimberly,61.9,0.41,55.0,4.82,4.78,2.97
I,Premium,SI1,1914,Luxembourg,61.8,0.7,62.0,5.69,5.64,3.5
E,Premium,SI2,1262,Tel Aviv,60.1,0.5,60.0,5.13,5.05,3.06
F,Ideal,SI1,5646,Tel Aviv,62.3,1.01,58.0,6.35,6.42,3.98
G,Very Good,SI1,945,Surat,63.2,0.42,57.0,4.79,4.77,3.02
J,Ideal,VS2,9414,Luxembourg,62.5,1.7,57.0,7.6,7.63,4.76
G,Good,SI1,1244,Dubai,63.3,0.52,57.0,5.08,5.11,3.22
E,Good,VVS2,1059,London,58.5,0.4,60.0,4.82,4.86,2.83
H,Ideal,SI2,5624,Kimberly,62.6,1.21,56.0,6.84,6.77,4.26
H,Very Good,SI2,3481,Zurich,62.3,0.9,61.0,6.15,6.17,3.84
D,Premium,VVS2,3003,Dubai,59.9,0.65,58.0,5.69,5.63,3.39
J,Good,SI1,3853,London,58.8,1.01,57.0,6.57,6.63,3.88
J,Ideal,VS1,3332,Las Vegas,62.4,0.92,56.0,6.23,6.19,3.88
G,Ideal,IF,1052,Paris,61.7,0.33,55.0,4.47,4.45,2.75
F,Ideal,SI1,1593,Zurich,61.1,0.51,55.0,5.22,5.16,3.17
G,Premium,IF,9039,Tel Aviv,61.3,1.04,58.0,6.52,6.43,3.97
G,Very Good,SI2,4340,Dubai,64.6,1.07,60.0,6.35,6.4,4.12
G,Ideal,VS2,8067,Surat,62.0,1.22,55.0,6.91,6.83,4.26
I,Very Good,VVS1,2456,Paris,63.5,0.71,57.0,5.65,5.68,3.6
D,Ideal,SI2,3454,Antwerp,61.4,0.78,57.0,5.91,5.94,3.64
H,Ideal,VS2,4133,New York City,61.9,0.9,55.0,6.22,6.19,3.84
D,Ideal,VS2,734,Madrid,61.5,0.31,56.0,4.34,4.37,2.68
E,Good,SI2,3153,Dubai,62.0,0.92,64.0,6.2,6.16,3.83
I,Ideal,VS1,1218,Amsterdam,61.8,0.43,55.0,4.88,4.9,3.02
G,Ideal,VS2,545,London,61.2,0.3,55.0,4.35,4.38,2.67
E,Ideal,VS2,2693,Dubai,62.5,0.7,55.0,5.73,5.7,3.57
E,Premium,VVS2,842,London,61.5,0.32,58.0,4.36,4.42,2.7
G,Ideal,IF,1733,New York City,62.1,0.46,56.0,4.96,4.93,3.07
G,Ideal,VVS2,665,Antwerp,61.8,0.3,57.0,4.29,4.32,2.66
H,Ideal,VVS2,832,Paris,62.2,0.38,54.6,4.62,4.66,2.89
H,Premium,SI1,18115,Madrid,62.5,2.04,61.0,8.08,8.04,5.04
H,Premium,VS1,1244,Tel Aviv,60.3,0.47,61.0,5.05,5.04,3.04
D,Ideal,VS2,1857,London,61.7,0.53,55.0,5.21,5.23,3.22
D,Very Good,VVS2,2897,New York City,60.6,0.6,57.0,5.48,5.51,3.33
E,Ideal,VS2,2863,New York City,61.0,0.71,55.0,5.79,5.75,3.52
G,Ideal,SI2,709,Dubai,61.9,0.45,54.0,4.91,4.95,3.05
I,Premium,SI1,4368,Paris,61.8,1.04,60.0,6.51,6.47,4.01
G,Premium,SI2,4370,Paris,62.5,1.02,59.0,6.42,6.37,4.0
E,Good,SI2,2453,Paris,63.8,0.75,55.0,5.74,5.8,3.68
E,Premium,VS1,1153,Antwerp,60.6,0.41,59.0,4.8,4.77,2.9
E,Ideal,VVS1,1333,Zurich,62.4,0.4,57.0,4.67,4.72,2.93
E,Fair,SI2,1828,London,70.6,0.7,56.0,5.45,5.35,3.81
G,Very Good,VS2,6777,Surat,60.6,1.08,58.0,6.65,6.71,4.05
G,Ideal,VVS2,10317,Kimberly,62.7,1.23,56.0,6.81,6.84,4.28
E,Ideal,SI2,1273,Paris,62.0,0.55,56.0,5.27,5.22,3.25
F,Very Good,VS2,625,Paris,62.9,0.31,56.0,4.3,4.32,2.71
G,Very Good,VS1,6301,Surat,62.6,1.02,58.0,6.36,6.46,4.01
J,Good,SI2,1141,Luxembourg,64.7,0.64,54.0,5.39,5.43,3.5
D,Premium,SI1,552,London,59.7,0.3,59.0,4.34,4.37,2.6
D,Premium,SI2,876,Madrid,62.3,0.41,58.0,4.77,4.74,2.96
F,Ideal,SI2,2624,Las Vegas,60.3,0.76,60.0,5.86,5.89,3.54
G,Premium,VVS1,1235,Kimberly,60.9,0.44,59.0,4.9,4.96,3.0
D,Very Good,SI1,1967,Antwerp,62.2,0.64,55.0,5.51,5.55,3.44
E,Ideal,VVS2,779,Amsterdam,62.2,0.3,54.4,4.3,4.32,2.68
E,Ideal,VS1,920,Paris,61.4,0.38,56.0,4.66,4.69,2.87
H,Ideal,IF,1064,Antwerp,60.0,0.38,60.0,4.71,4.76,2.84
E,Ideal,VVS1,1397,Dubai,62.8,0.4,57.0,4.71,4.65,2.94
G,Ideal,VVS2,936,Paris,61.6,0.32,55.0,4.42,4.41,2.72
D,Ideal,SI1,12738,Dubai,59.5,1.51,57.0,7.56,7.46,4.47
H,Ideal,SI2,16319,London,62.0,2.04,56.0,8.18,8.23,5.09
J,Ideal,VS1,5040,Kimberly,61.8,1.2,55.0,6.81,6.76,4.19
G,Very Good,IF,1271,New York City,63.5,0.39,56.0,4.67,4.65,2.96
J,Ideal,SI1,4565,Amsterdam,61.4,1.09,55.0,6.61,6.67,4.08
I,Ideal,SI1,3999,Tel Aviv,60.6,1.01,57.0,6.51,6.56,3.96
G,Ideal,VS2,8414,Las Vegas,62.8,1.2,54.0,6.75,6.79,4.25
F,Good,VS1,6794,Dubai,59.0,1.01,62.0,6.56,6.6,3.88
H,Ideal,SI1,1240,Antwerp,62.2,0.54,56.0,5.26,5.19,3.25
H,Premium,SI1,10519,Antwerp,60.6,1.51,59.0,7.45,7.41,4.5
F,Ideal,IF,914,Zurich,62.0,0.31,55.0,4.36,4.38,2.71
E,Ideal,VS1,1841,Kimberly,62.0,0.51,57.0,5.11,5.15,3.18
E,Very Good,VVS2,622,London,59.7,0.3,57.0,4.37,4.43,2.62
H,Premium,SI2,16431,Kimberly,62.5,2.05,58.0,8.12,8.08,5.06
G,Very Good,SI1,5353,Paris,59.4,1.03,60.0,6.61,6.66,3.94
F,Ideal,SI2,2224,Dubai,62.0,0.72,55.0,5.75,5.79,3.58
F,Premium,VS2,6097,London,59.9,1.01,61.0,6.5,6.46,3.88
E,Ideal,VS2,999,Madrid,61.8,0.41,57.0,4.78,4.76,2.95
J,Premium,SI1,5446,Kimberly,59.4,1.31,60.0,7.06,7.12,4.21
D,Premium,SI2,4295,Dubai,60.8,1.0,60.0,6.45,6.41,3.91
I,Very Good,VVS1,589,Surat,60.1,0.32,61.0,4.4,4.45,2.66
G,Ideal,VVS1,789,Kimberly,61.8,0.31,54.0,4.39,4.41,2.72
E,Ideal,VVS2,10512,London,62.3,1.14,55.0,6.68,6.71,4.17
H,Very Good,VVS1,926,Paris,61.5,0.39,56.0,4.7,4.73,2.9
D,Very Good,VS2,3131,Zurich,61.2,0.7,60.0,5.73,5.77,3.52
D,Premium,IF,1167,New York City,60.2,0.31,59.0,4.39,4.42,2.65
G,Good,VS2,5068,Tel Aviv,62.7,1.0,58.0,6.24,6.33,3.94
D,Ideal,SI2,5842,Luxembourg,62.7,1.17,57.0,6.7,6.72,4.21
J,Ideal,VS2,396,Surat,62.2,0.31,55.0,4.32,4.36,2.7
H,Very Good,SI1,984,Dubai,63.1,0.5,55.0,5.09,5.02,3.19
E,Premium,VS2,1815,Paris,60.7,0.52,58.0,5.21,5.17,3.15
G,Premium,VVS2,684,Zurich,62.6,0.3,58.0,4.27,4.29,2.68
G,Good,VS1,605,Madrid,63.6,0.3,57.0,4.23,4.26,2.7
G,Very Good,SI1,5113,Las Vegas,63.2,1.01,59.0,6.36,6.32,4.01
I,Ideal,IF,694,Luxembourg,62.1,0.33,55.0,4.41,4.44,2.75
I,Very Good,SI1,2136,Zurich,62.2,0.7,58.0,5.63,5.66,3.51
I,Premium,VS2,594,Tel Aviv,61.0,0.33,61.0,4.46,4.43,2.71
E,Premium,SI1,7362,Antwerp,60.3,1.2,57.0,6.98,6.84,4.17
F,Good,SI1,1357,Zurich,63.6,0.52,62.0,5.07,4.96,3.2
F,Very Good,VVS2,664,Madrid,63.1,0.29,57.0,4.22,4.3,2.69
D,Very Good,SI1,4205,Madrid,59.9,0.84,54.0,6.2,6.23,3.72
F,Very Good,SI1,660,Tel Aviv,61.5,0.38,54.0,4.69,4.71,2.89
F,Very Good,SI1,5491,Surat,59.6,1.06,60.0,6.61,6.68,3.96
I,Ideal,VS1,568,Madrid,62.1,0.36,56.0,4.55,4.59,2.84
H,Premium,SI2,4641,Surat,62.0,1.12,57.0,6.68,6.61,4.12
E,Good,VS1,7665,New York City,63.6,1.01,57.0,6.41,6.35,4.06
G,Ideal,SI2,8580,Dubai,61.4,1.5,56.0,7.34,7.38,4.52
E,Good,I1,2608,Kimberly,64.1,0.81,59.0,5.89,5.85,3.76
E,Premium,SI1,2777,Luxembourg,61.3,0.7,58.0,5.71,5.68,3.49
H,Ideal,SI1,733,Las Vegas,61.9,0.44,57.0,4.9,4.92,3.04
G,Premium,VS1,8602,Dubai,62.8,1.2,58.0,6.84,6.75,4.27
H,Ideal,VS2,743,Las Vegas,61.5,0.41,55.0,4.78,4.81,2.95
D,Good,SI1,706,New York City,63.8,0.32,55.0,4.36,4.35,2.78
I,Very Good,SI1,1918,Amsterdam,62.7,0.7,56.0,5.64,5.68,3.55
J,Ideal,VS1,6332,Paris,62.2,1.26,58.0,6.88,6.92,4.29
F,Premium,VS2,3557,Surat,60.2,0.83,60.0,6.04,6.09,3.65
E,Ideal,VVS1,1333,Tel Aviv,62.6,0.4,56.0,4.7,4.73,2.95
H,Ideal,VS2,7130,New York City,62.2,1.23,55.0,6.81,6.85,4.25
G,Very Good,SI2,9384,Paris,63.1,1.5,57.0,7.29,7.25,4.59
E,Very Good,SI1,5759,Dubai,61.9,1.01,56.0,6.33,6.41,3.94
D,Ideal,I1,13156,New York City,60.9,2.75,57.0,9.04,8.98,5.49
G,Premium,VS2,847,Luxembourg,60.6,0.42,58.0,4.83,4.88,2.94
G,Ideal,VVS1,1963,New York City,61.4,0.51,56.0,5.14,5.15,3.16
J,Ideal,SI1,7987,Antwerp,61.7,1.55,54.0,7.42,7.55,4.62
H,Very Good,SI1,666,Paris,62.6,0.4,58.0,4.68,4.72,2.94
D,Ideal,SI1,3189,Surat,61.8,0.73,56.0,5.8,5.76,3.57
H,Very Good,VS2,628,Zurich,63.1,0.31,57.0,4.32,4.27,2.71
G,Premium,IF,1148,Las Vegas,62.5,0.36,60.0,4.53,4.49,2.82
D,Very Good,VS2,14112,Dubai,62.3,1.51,59.0,7.29,7.34,4.56
F,Premium,SI1,342,Antwerp,60.4,0.22,61.0,3.88,3.84,2.33
I,Ideal,VS1,5206,Kimberly,60.9,1.03,56.0,6.52,6.59,3.99
F,Premium,SI2,2200,Kimberly,62.8,0.78,56.0,5.9,5.86,3.69
H,Very Good,VS2,2797,Tel Aviv,63.4,0.8,60.0,5.92,5.82,3.72
H,Fair,I1,6564,Zurich,70.1,2.22,55.0,7.77,7.74,5.44
F,Ideal,VS1,3162,Surat,61.0,0.7,58.0,5.74,5.76,3.51
F,Ideal,VVS2,2454,Kimberly,62.0,0.54,55.0,5.24,5.25,3.25
E,Very Good,SI1,1415,Surat,63.3,0.5,59.0,5.03,4.99,3.17
G,Good,SI1,4405,Surat,58.8,0.93,61.0,6.36,6.39,3.75
E,Ideal,VS2,1712,Madrid,61.3,0.52,55.0,5.18,5.2,3.18
G,Ideal,SI1,1591,Las Vegas,62.3,0.56,53.0,5.31,5.28,3.3
H,Ideal,VVS1,3180,Zurich,60.8,0.72,58.0,5.77,5.8,3.52
D,Ideal,VS2,3464,Tel Aviv,61.6,0.73,56.0,5.78,5.82,3.57
G,Premium,SI1,5851,London,62.6,1.15,58.0,6.71,6.65,4.18
G,Premium,SI1,574,Amsterdam,60.1,0.3,62.0,4.37,4.35,2.62
G,Good,VS1,2055,Antwerp,59.0,0.66,62.0,5.66,5.72,3.35
H,Very Good,VVS1,798,Kimberly,62.6,0.35,57.0,4.45,4.47,2.79
H,Very Good,I1,3696,Kimberly,58.6,1.2,57.0,6.96,7.01,4.09
F,Ideal,VS1,754,Paris,62.8,0.35,54.0,4.5,4.54,2.84
E,Ideal,VS1,1153,Las Vegas,61.7,0.41,57.0,4.8,4.76,2.95
I,Good,VS2,4355,Antwerp,64.5,0.97,61.0,6.16,6.21,3.99
F,Ideal,SI2,4642,Las Vegas,62.0,0.91,56.0,6.2,6.22,3.85
G,Ideal,VS1,1851,Surat,61.3,0.57,56.0,5.34,5.36,3.28
G,Ideal,VVS1,764,Tel Aviv,61.7,0.3,57.0,4.31,4.35,2.67
G,Ideal,VS2,561,Surat,61.8,0.32,57.0,4.38,4.42,2.72
F,Very Good,SI1,4379,Kimberly,61.4,0.9,58.0,6.18,6.23,3.81
D,Good,SI1,947,Kimberly,63.8,0.41,56.0,4.72,4.68,3.0
I,Premium,VS1,6532,Amsterdam,62.2,1.27,59.0,6.92,6.87,4.29
F,Very Good,SI2,3763,Surat,62.9,0.92,58.0,6.18,6.22,3.9
E,Ideal,VS2,3301,Tel Aviv,61.8,0.71,57.0,5.69,5.74,3.53
H,Premium,VS2,5993,Tel Aviv,62.3,1.09,57.0,6.63,6.53,4.1
E,Very Good,VS2,1719,Madrid,61.6,0.55,60.0,5.23,5.27,3.23
G,Ideal,VS1,625,New York City,62.1,0.31,55.0,4.33,4.36,2.7
F,Ideal,SI2,4832,Amsterdam,61.8,1.02,57.0,6.49,6.43,3.99
F,Ideal,VS1,1007,Luxembourg,61.9,0.41,55.0,4.76,4.8,2.96
F,Ideal,I1,2611,Surat,61.8,0.9,57.0,6.13,6.2,3.81
F,Ideal,VVS2,12059,London,62.0,1.24,57.0,6.86,6.91,4.27
E,Premium,SI2,3662,Zurich,60.8,0.9,60.0,6.21,6.25,3.79
F,Good,SI2,4437,Surat,63.8,1.15,57.0,6.65,6.6,4.23
H,Ideal,VS2,13761,New York City,61.5,1.74,55.0,7.79,7.73,4.77
F,Very Good,VS2,487,Amsterdam,62.7,0.28,58.0,4.14,4.15,2.6
H,Very Good,SI2,3160,Madrid,62.9,0.9,57.0,6.09,6.16,3.85
G,Premium,SI1,10914,Antwerp,59.5,1.57,58.0,7.56,7.61,4.51
G,Ideal,VS1,454,Antwerp,62.5,0.25,55.0,4.0,4.02,2.51
J,Ideal,SI1,5607,Antwerp,61.6,1.29,58.0,6.96,6.99,4.3
E,Premium,VVS1,1241,Luxembourg,61.2,0.41,62.0,4.78,4.76,2.92
E,Ideal,VS2,767,Luxembourg,62.4,0.35,57.0,4.52,4.55,2.83
E,Ideal,SI1,4181,London,60.7,0.85,57.0,6.11,6.14,3.72
H,Ideal,VVS1,504,Surat,60.7,0.24,57.0,4.02,4.05,2.44
F,Ideal,VVS2,8743,Paris,62.1,1.15,55.0,6.69,6.74,4.17
G,Premium,VS2,4637,London,61.7,0.9,57.0,6.21,6.11,3.8
J,Ideal,SI1,4875,Dubai,61.8,1.24,57.0,6.92,6.86,4.26
H,Very Good,VS1,1628,Madrid,62.3,0.51,57.0,5.1,5.12,3.18
H,Very Good,VS2,6189,Luxembourg,62.9,1.21,57.0,6.75,6.8,4.26
G,Good,SI1,2016,Antwerp,64.0,0.7,55.0,5.62,5.59,3.59
D,Very Good,SI1,4304,Luxembourg,63.3,0.9,57.0,6.12,6.07,3.86
G,Premium,SI2,608,Antwerp,60.8,0.36,58.0,4.61,4.57,2.79
H,Premium,I1,3199,Kimberly,62.5,1.02,60.0,6.41,6.39,4.0
H,Ideal,VS2,6302,Paris,62.9,1.21,57.0,6.8,6.75,4.26
I,Premium,I1,6436,New York City,62.4,1.69,60.0,7.59,7.56,4.73
G,Ideal,VS2,561,Surat,61.6,0.32,57.0,4.39,4.41,2.71
G,Ideal,SI1,1173,Las Vegas,62.2,0.5,56.0,5.13,5.08,3.17
H,Very Good,VS2,2276,Surat,62.3,0.7,56.0,5.66,5.7,3.54
E,Very Good,SI1,2610,Dubai,57.9,0.72,58.0,5.92,5.96,3.44
G,Ideal,VS1,2973,Paris,62.3,0.75,57.0,5.83,5.86,3.64
E,Premium,SI2,3612,Surat,59.9,1.0,55.0,6.48,6.4,3.86
E,Ideal,VVS1,1084,Tel Aviv,62.0,0.34,56.0,4.52,4.48,2.79
I,Ideal,VS1,555,Madrid,62.0,0.34,56.0,4.5,4.53,2.8
F,Good,VS1,1294,Paris,58.5,0.49,61.5,5.18,5.21,3.04
F,Ideal,SI2,17989,Antwerp,60.3,2.24,59.0,8.47,8.5,5.12
I,Very Good,SI2,11390,Luxembourg,63.3,2.02,59.0,7.93,8.0,5.04
E,Very Good,VS2,1583,Kimberly,63.4,0.5,58.0,5.08,5.05,3.21
E,Ideal,VS2,2115,London,59.7,0.61,57.0,5.57,5.52,3.31
F,Premium,SI1,1561,Zurich,62.4,0.59,59.0,5.37,5.33,3.34
E,Fair,VS2,4972,Paris,64.8,1.01,59.0,6.34,6.26,4.08
F,Very Good,SI1,2423,New York City,63.2,0.7,57.0,5.68,5.62,3.57
I,Premium,SI1,3749,Luxembourg,62.0,1.03,58.0,6.46,6.41,3.99
D,Ideal,SI2,2670,New York City,62.7,0.72,55.0,5.72,5.7,3.58
H,Ideal,VS1,615,Antwerp,62.4,0.34,55.0,4.48,4.5,2.8
G,Ideal,VS1,559,Madrid,61.8,0.32,55.0,4.42,4.45,2.74
G,Ideal,VVS2,2861,Amsterdam,61.6,0.62,56.0,5.45,5.48,3.37
E,Very Good,SI2,9058,Kimberly,62.8,1.51,59.0,7.24,7.31,4.57
F,Very Good,SI2,4427,Dubai,60.0,1.04,61.0,6.5,6.57,3.92
I,Premium,SI1,5293,Kimberly,59.7,1.25,59.0,6.97,7.03,4.18
F,Ideal,VVS1,790,Surat,62.4,0.3,57.0,4.25,4.28,2.66
G,Very Good,VS2,2454,London,63.5,0.71,57.0,5.61,5.64,3.57
G,Ideal,IF,956,Zurich,62.1,0.3,55.0,4.35,4.31,2.69
G,Very Good,VS1,3024,Madrid,60.1,0.72,63.0,5.86,5.82,3.51
E,Premium,VS2,767,Antwerp,60.4,0.35,60.0,4.52,4.55,2.74
E,Premium,VS2,1112,Las Vegas,62.2,0.38,59.0,4.67,4.63,2.89
D,Ideal,VS2,781,Madrid,62.5,0.33,56.0,4.43,4.46,2.78
H,Premium,SI2,3388,Dubai,59.2,1.1,59.0,6.8,6.74,4.01
E,Very Good,SI1,693,Surat,63.1,0.33,56.0,4.45,4.42,2.8
G,Very Good,VS2,5967,London,63.5,1.0,59.0,6.33,6.23,3.99
H,Very Good,SI1,421,Dubai,60.8,0.3,61.0,4.25,4.3,2.6
D,Very Good,SI1,5542,Madrid,61.5,1.01,61.0,6.37,6.47,3.95
H,Very Good,SI2,7775,Antwerp,62.3,1.5,60.0,7.28,7.22,4.52
F,Ideal,VVS2,988,Madrid,61.6,0.39,55.0,4.71,4.74,2.91
D,Ideal,VS2,1007,Luxembourg,61.5,0.41,57.0,4.77,4.79,2.94
G,Ideal,VS1,605,Antwerp,61.5,0.3,57.0,4.31,4.34,2.66
H,Premium,SI1,5669,Madrid,61.8,1.2,58.0,6.8,6.72,4.18
E,Ideal,SI2,625,Madrid,61.8,0.41,54.0,4.78,4.8,2.96
E,Ideal,VS2,866,Luxembourg,60.1,0.38,56.0,4.69,4.72,2.83
D,Ideal,SI1,1619,London,62.6,0.51,57.0,5.11,5.08,3.19
F,Very Good,SI2,2624,Zurich,61.7,0.73,60.0,5.71,5.8,3.55
F,Ideal,VVS1,955,Zurich,61.8,0.33,57.0,4.44,4.46,2.75
J,Good,VS2,7370,Tel Aviv,63.5,1.52,58.0,7.24,7.28,4.61
E,Very Good,VS2,6586,New York City,63.5,1.05,57.0,6.51,6.46,4.12
I,Premium,VS1,18795,Kimberly,60.8,2.0,59.0,8.13,8.02,4.91
H,Ideal,VVS2,7108,Amsterdam,59.7,1.13,59.0,6.89,6.77,4.08
E,Ideal,VS2,1813,Kimberly,61.4,0.53,56.0,5.24,5.21,3.21
F,Good,VVS1,458,Antwerp,58.1,0.23,52.0,4.03,4.1,2.36
F,Fair,SI1,599,Surat,64.6,0.3,56.0,4.27,4.25,2.75
E,Very Good,SI1,2618,Paris,62.5,0.72,58.0,5.68,5.72,3.56
E,Fair,SI2,3575,Madrid,65.1,1.0,59.0,6.3,6.23,4.08
D,Ideal,SI2,5051,Dubai,61.6,1.01,57.0,6.32,6.45,3.93
D,Premium,VS2,982,Madrid,61.7,0.4,59.0,4.73,4.76,2.93
G,Premium,SI2,5430,London,60.3,1.21,58.0,6.9,6.96,4.18
F,Ideal,VS2,15688,London,62.4,1.51,53.0,7.37,7.32,4.58
E,Premium,SI1,904,London,61.8,0.41,60.0,4.78,4.74,2.94
J,Very Good,SI1,2834,Kimberly,63.4,0.9,54.0,6.17,6.14,3.9
H,Premium,SI1,1193,Surat,60.9,0.53,60.0,5.26,5.19,3.18
G,Ideal,VVS1,1865,Las Vegas,62.1,0.5,53.5,5.08,5.13,3.17
E,Very Good,SI1,18709,Tel Aviv,60.5,2.0,59.0,8.09,8.14,4.94
G,Ideal,IF,959,Tel Aviv,60.7,0.35,57.0,4.59,4.61,2.79
H,Ideal,VVS1,665,Surat,62.2,0.3,55.0,4.3,4.32,2.68
H,Premium,VS1,7277,Las Vegas,62.4,1.19,59.0,6.79,6.73,4.22
E,Premium,SI2,2475,Kimberly,62.8,0.7,59.0,5.69,5.64,3.56
E,Ideal,VS2,702,Luxembourg,62.0,0.32,55.0,4.39,4.41,2.73
G,Ideal,SI1,7414,Dubai,61.9,1.32,57.0,7.05,7.01,4.35
E,Ideal,SI2,6343,Antwerp,62.7,1.22,57.0,6.84,6.81,4.28
D,Ideal,VS2,713,Madrid,61.3,0.32,57.0,4.44,4.46,2.73
H,Ideal,VS1,17761,Madrid,59.7,1.87,60.0,7.98,8.04,4.78
G,Premium,VS2,720,Luxembourg,62.3,0.32,58.0,4.41,4.36,2.73
D,Very Good,SI1,5812,Antwerp,61.8,1.01,58.0,6.33,6.38,3.93
J,Ideal,VS2,504,Amsterdam,62.2,0.32,57.0,4.38,4.36,2.72
I,Premium,VS1,9467,Amsterdam,62.3,1.51,60.0,7.28,7.32,4.55
H,Premium,VS1,1009,Surat,61.7,0.39,57.0,4.68,4.65,2.88
E,Ideal,VVS1,1052,Dubai,61.5,0.33,56.0,4.49,4.46,2.75
I,Premium,VVS2,561,Dubai,60.7,0.32,59.0,4.4,4.43,2.68
J,Ideal,SI1,4633,Kimberly,62.1,1.08,55.0,6.54,6.57,4.07
E,Premium,VS2,5882,Surat,59.3,1.01,59.0,6.59,6.54,3.89
G,Very Good,VS1,1817,London,61.0,0.57,55.0,5.36,5.43,3.28
F,Ideal,VS1,8637,Kimberly,62.0,1.02,57.0,6.49,6.44,4.01
